Chapter,QuestionID,AnswerNumber,QuestionText,AnswerText,CorrectFlag
7a,7123,7,"Quali sono i comportamenti generali del conducente di veicoli trasportanti colli ADR, allo scarico?","Durante lo scarico è consentito fumare, o usare sigarette elettroniche e altri simili dispositivi, solo all'interno della cabina di guida",F
7a,7124,1,"Quali sono le precauzioni generali del conducente di veicoli trasportanti colli ADR, allo scarico?","Dopo gli scarichi parziali, se necessario riequilibrare il carico",V
7a,7124,2,"Quali sono le precauzioni generali del conducente di veicoli trasportanti colli ADR, allo scarico?","Quando il veicolo è completamente scarico, coprire o mascherare i pannelli di segnalazione arancio generici",V
7a,7124,3,"Quali sono le precauzioni generali del conducente di veicoli trasportanti colli ADR, allo scarico?","A fine scarico, coprire o mascherare sia i pannelli di segnalazione arancio generici, che le placche della classe 1 o 7, eventualmente presenti sul veicolo o",V
7a,7124,4,"Quali sono le precauzioni generali del conducente di veicoli trasportanti colli ADR, allo scarico?",Abbandonare il veicolo solo se un addetto dello stabilimento si offre di rimpiazzarlo,F
7a,7124,5,"Quali sono le precauzioni generali del conducente di veicoli trasportanti colli ADR, allo scarico?","Illuminare il vano di carico con lampade resistenti all'acqua e riportanti la dicitura ""waterproof""",F
7a,7124,6,"Quali sono le precauzioni generali del conducente di veicoli trasportanti colli ADR, allo scarico?",Illuminare il vano di carico con normali lampade metalliche che potrebbero produrre scintille,F
7a,7125,1,"Quali precauzioni deve osservare il conducente di veicoli trasportanti colli ADR, durante lo scarico?","In caso di perdite dai colli, intervenire dopo avere indossato i dispositivi di protezione individuali riportati nelle istruzioni scritte",V
7a,7125,2,"Quali precauzioni deve osservare il conducente di veicoli trasportanti colli ADR, durante lo scarico?",Presenziare costantemente le operazioni per essere pronti ad intervenire in caso di necessità,V
7a,7125,3,"Quali precauzioni deve osservare il conducente di veicoli trasportanti colli ADR, durante lo scarico?",In caso di piccola perdita da un collo interrompere lo scarico e pulire o decontaminare il vano di carico,V
7a,7125,4,"Quali precauzioni deve osservare il conducente di veicoli trasportanti colli ADR, durante lo scarico?","A seguito di perdite di liquido infiammabile, avviare il motore e spostare immediatamente il veicolo",F
7a,7125,5,"Quali precauzioni deve osservare il conducente di veicoli trasportanti colli ADR, durante lo scarico?","A seguito di perdite di liquido infiammabile, far fermare i motori di veicoli vicini, non ripartire ma attendere la decontaminazione",V
7a,7125,6,"Quali precauzioni deve osservare il conducente di veicoli trasportanti colli ADR, durante lo scarico?",Non è necessario verificare se i colli scaricati hanno subito danni durante il trasporto,F
7a,7125,7,"Quali precauzioni deve osservare il conducente di veicoli trasportanti colli ADR, durante lo scarico?",È sempre vietato al conducente di presenziare alle operazioni di scarico,F
7a,7126,1,"Con un'unità di trasporto costituita da un autotreno, quale dei seguenti comportamenti vi sembra corretto quando i luoghi di scarico sono più d'uno?",Scaricare prima completamente il rimorchio e poi proseguire il viaggio per lo scarico della motrice,V
7a,7126,2,"Con un'unità di trasporto costituita da un autotreno, quale dei seguenti comportamenti vi sembra corretto quando i luoghi di scarico sono più d'uno?","Dovendo per causa di forza maggiore scaricare prima completamente la motrice, far trasferire la merce del rimorchio sulla motrice",V
7a,7126,3,"Con un'unità di trasporto costituita da un autotreno, quale dei seguenti comportamenti vi sembra corretto quando i luoghi di scarico sono più d'uno?",Recarsi per primo nella località di scarico del rimorchio,V
7a,7126,4,"Con un'unità di trasporto costituita da un autotreno, quale dei seguenti comportamenti vi sembra corretto quando i luoghi di scarico sono più d'uno?","Scaricare prima completamente la motrice, e poi proseguire il viaggio per lo scarico del rimorchio",F
7a,7126,5,"Con un'unità di trasporto costituita da un autotreno, quale dei seguenti comportamenti vi sembra corretto quando i luoghi di scarico sono più d'uno?","Dovendo per causa di forza maggiore scaricare prima la motrice, proseguire il viaggio ad una velocità massima di 25 km/h",F
7a,7126,6,"Con un'unità di trasporto costituita da un autotreno, quale dei seguenti comportamenti vi sembra corretto quando i luoghi di scarico sono più d'uno?",Recarsi per primo nella località di scarico della motrice,F
7a,7127,1,"Chi è definibile ""membro dell'equipaggio"" e quindi può viaggiare a bordo dell’unità di trasporto?","Ad esempio, il secondo conducente",V
7a,7127,2,"Chi è definibile ""membro dell'equipaggio"" e quindi può viaggiare a bordo dell’unità di trasporto?","Ad esempio, chi accompagna il trasporto per poter sorvegliare il carico quando il conducente deve assentarsi",V
7a,7127,3,"Chi è definibile ""membro dell'equipaggio"" e quindi può viaggiare a bordo dell’unità di trasporto?","Ad esempio, chi accompagna il conducente nuovo assunto per motivi d'addestramento",V
7a,7127,4,"Chi è definibile ""membro dell'equipaggio"" e quindi può viaggiare a bordo dell’unità di trasporto?","Ad esempio, un autostoppista",F
7a,7127,5,"Chi è definibile ""membro dell'equipaggio"" e quindi può viaggiare a bordo dell’unità di trasporto?","Ad esempio, il figlio minorenne",F
7a,7127,6,"Chi è definibile ""membro dell'equipaggio"" e quindi può viaggiare a bordo dell’unità di trasporto?",Il destinatario della merce,F
7b,,1,È vietato caricare in comune su uno stesso veicolo merci pericolose diverse?,"Sì, è vietato caricare alcune materie delle classi 1, 4.1 e 5.2, con altre merci pericolose",V
7b,,2,È vietato caricare in comune su uno stesso veicolo merci pericolose diverse?,"No, non esiste alcun divieto di carico in comune",F
7b,,3,È vietato caricare in comune su uno stesso veicolo merci pericolose diverse?,"Si, è vietato se i colli contengono alcuni esplosivi della classe 1",V
7b,,4,È vietato caricare in comune su uno stesso veicolo merci pericolose diverse?,"No, tutte le merci pericolose ADR possono essere caricate in comune nello stesso veicolo",F
7b,,5,È vietato caricare in comune su uno stesso veicolo merci pericolose diverse?,Alcune merci della classe 5.2 non possono essere caricate nello stesso vano di carico con merci di altre classi ADR,V
7b,,6,È vietato caricare in comune su uno stesso veicolo merci pericolose diverse?,Tale divieto si deve rispettare solo per le materie della classe 3,F
7b,7202,1,Esistono divieti di carico in comune nel trasporto ADR?,"Sì, è vietato caricare in comune su uno stesso veicolo alcune materie della classe 1 con altre merci pericolose ADR",V
7b,7202,2,Esistono divieti di carico in comune nel trasporto ADR?,"Sì, è vietato caricare in comune su uno stesso veicolo alcune materie della classe 4.1 con altre materie pericolose ADR",V
7b,7202,3,Esistono divieti di carico in comune nel trasporto ADR?,"Sì, è vietato caricare in comune su uno stesso veicolo alcune materie della classe 5.2 con altre merci pericolose ADR",V
7b,7202,4,Esistono divieti di carico in comune nel trasporto ADR?,I divieti devono essere applicati solamente ad alcune merci appartenenti alla classe 2,F
7b,7202,5,Esistono divieti di carico in comune nel trasporto ADR?,Tali divieti devono essere rispettati solo se il veicolo è furgonato,F
7b,7202,6,Esistono divieti di carico in comune nel trasporto ADR?,Non esiste nessun divieto se il vano di carico è coperto,F
7b,7203,1,Come è possibile rispettare i divieti di carico in comune nel trasporto ADR:,È necessario che il conducente esibisca al caricatore i documenti di trasporto delle merci già caricate in precedenza sul veicolo,V
7b,7203,2,Come è possibile rispettare i divieti di carico in comune nel trasporto ADR:,Per rispettare tali divieti il conducente deve fornire allo speditore una copia della normativa ADR in vigore,F
7b,7203,3,Come è possibile rispettare i divieti di carico in comune nel trasporto ADR:,Bisogna che il conducente controlli i modelli di etichette applicate sui colli prima del loro carico a bordo del veicolo,V
7b,7203,4,Come è possibile rispettare i divieti di carico in comune nel trasporto ADR:,Per rispettare tali divieti bisogna affidarsi esclusivamente alle indicazioni fornite dal destinatario della merce ADR,F
7b,7203,5,Come è possibile rispettare i divieti di carico in comune nel trasporto ADR:,Per rispettare tali divieti il conducente deve aprire i colli per verificarne il contenuto,F
7b,7204,1,"In generale, nel trasporto di merci ADR esistono limitazioni delle quantità trasportate nella stessa unità di trasporto?","Si, tali limitazioni devono essere applicate al trasporto di alcune merci appartenenti alle classi 1, 4.1 e 5.2",V
7b,7204,2,"In generale, nel trasporto di merci ADR esistono limitazioni delle quantità trasportate nella stessa unità di trasporto?","Sì, la quantità massima di merce trasportabile dipende dal livello di pericolo della materia pericolosa ADR",V
7b,7204,3,"In generale, nel trasporto di merci ADR esistono limitazioni delle quantità trasportate nella stessa unità di trasporto?","No, l'importante è non superare la portata utile del veicolo",F
7b,7204,4,"In generale, nel trasporto di merci ADR esistono limitazioni delle quantità trasportate nella stessa unità di trasporto?","Sì, esse riguardano tutte le materie ed oggetti pericolosi",F
7b,7204,5,"In generale, nel trasporto di merci ADR esistono limitazioni delle quantità trasportate nella stessa unità di trasporto?",Tali limitazioni esistono solo per le materie appartenenti alla classe 3,F
7b,7205,1,Le limitazioni delle quantità trasportate di determinate classi di pericolo dell'ADR:,Servono per evitare di trasportare quantità elevate di alcune materie molto pericolose,V
7b,7205,2,Le limitazioni delle quantità trasportate di determinate classi di pericolo dell'ADR:,"Sono espresse in kg o t, e riguardano il carico utile (massa netta massima)",V
7b,7205,3,Le limitazioni delle quantità trasportate di determinate classi di pericolo dell'ADR:,Riguardano la singola unità di trasporto,V
7b,7205,4,Le limitazioni delle quantità trasportate di determinate classi di pericolo dell'ADR:,Sono espresse in volume (metri cubi),F
7b,7205,5,Le limitazioni delle quantità trasportate di determinate classi di pericolo dell'ADR:,Si riferiscono esclusivamente a più unità di trasporto che viaggiano in convoglio,F
7b,7205,6,Le limitazioni delle quantità trasportate di determinate classi di pericolo dell'ADR:,Sono stabilite esclusivamente per non sovraccaricare i veicoli,F
7b,7206,1,Quali delle classi di pericolo seguenti hanno (per alcune merci) limitazioni sulle quantità trasportate?,Classe 4.1,V
7b,7206,2,Quali delle classi di pericolo seguenti hanno (per alcune merci) limitazioni sulle quantità trasportate?,Classe 5.2,V
7b,7206,3,Quali delle classi di pericolo seguenti hanno (per alcune merci) limitazioni sulle quantità trasportate?,Classe 1,V
7b,7206,4,Quali delle classi di pericolo seguenti hanno (per alcune merci) limitazioni sulle quantità trasportate?,Classe 2,F
7b,7206,5,Quali delle classi di pericolo seguenti hanno (per alcune merci) limitazioni sulle quantità trasportate?,Classe 5.1,F
7b,7206,6,Quali delle classi di pericolo seguenti hanno (per alcune merci) limitazioni sulle quantità trasportate?,Classe 9,F
7b,7207,1,I divieti di carico in comune (tra merci ADR) devono essere osservati:,Anche nei veicoli con carrozzeria cassone fisso,V
7b,7207,2,I divieti di carico in comune (tra merci ADR) devono essere osservati:,In tutti i vani di carico,V
7b,7207,3,I divieti di carico in comune (tra merci ADR) devono essere osservati:,Anche nei veicoli con carrozzeria furgone (veicoli chiusi),V
7b,7207,4,I divieti di carico in comune (tra merci ADR) devono essere osservati:,Esclusivamente per i veicoli scoperti (cassoni),F
7b,7207,5,I divieti di carico in comune (tra merci ADR) devono essere osservati:,Esclusivamente per i container di colli,F
7b,7207,6,I divieti di carico in comune (tra merci ADR) devono essere osservati:,Soltanto nei veicoli ma non nei container di colli,F
7b,7208,1,Per rispettare i divieti di carico in comune (tra merci ADR) occorre:,Che il trasportatore comunichi allo speditore le materie che ha già caricato,V
7b,7208,2,Per rispettare i divieti di carico in comune (tra merci ADR) occorre:,Che il conducente presenti allo speditore i documenti di trasporto relativi alle materie già caricate,V
7b,7208,3,Per rispettare i divieti di carico in comune (tra merci ADR) occorre:,Che il trasportatore comunichi alla Polizia il nome delle materie che ha già sul veicolo,F
7b,7208,4,Per rispettare i divieti di carico in comune (tra merci ADR) occorre:,Che il trasportatore comunichi al destinatario il nome delle materie che ha già sul veicolo,F
7b,7208,5,Per rispettare i divieti di carico in comune (tra merci ADR) occorre:,Che il trasportatore comunichi allo speditore il nome delle materie che egli ha già scaricato e consegnato in precedenza,F
8a,,1,Quali danni possono provocare gli incidenti che coinvolgono le merci pericolose?,Catastrofi,V
8a,,2,Quali danni possono provocare gli incidenti che coinvolgono le merci pericolose?,Evacuazione di quartieri,V
8a,,3,Quali danni possono provocare gli incidenti che coinvolgono le merci pericolose?,Inquinamento delle acque di superficie e sotterranee,V
8a,,4,Quali danni possono provocare gli incidenti che coinvolgono le merci pericolose?,Solo gli stessi danni degli altri trasporti,F
8a,,5,Quali danni possono provocare gli incidenti che coinvolgono le merci pericolose?,Solo danni limitati ai veicoli coinvolti,F
8a,,6,Quali danni possono provocare gli incidenti che coinvolgono le merci pericolose?,"Tutte le merci pericolose formano sempre una striscia viscida d'olio, che può causare incidenti ai veicoli a due ruote",F
8a,8102,1,Quali provvedimenti prima dell'inizio del viaggio aumentano la sicurezza durante la circolazione?,Il controllo delle luci e dei freni,V
8a,8102,2,Quali provvedimenti prima dell'inizio del viaggio aumentano la sicurezza durante la circolazione?,"Il controllo dello stato dei pneumatici, compreso la corretta pressione di gonfiaggio",V
8a,8102,3,Quali provvedimenti prima dell'inizio del viaggio aumentano la sicurezza durante la circolazione?,Il controllo del buon stato e della completezza degli equipaggiamenti ADR,V
8a,8102,4,Quali provvedimenti prima dell'inizio del viaggio aumentano la sicurezza durante la circolazione?,Lo sgonfiaggio dei pneumatici per migliorare il molleggio del veicolo e l'aderenza in caso di pioggia,F
8a,8102,5,Quali provvedimenti prima dell'inizio del viaggio aumentano la sicurezza durante la circolazione?,"Il comunicare alla Polizia la radiofrequenza del proprio ""CB"" e l'ora della partenza",F
8a,8102,6,Quali provvedimenti prima dell'inizio del viaggio aumentano la sicurezza durante la circolazione?,Svuotare il posacenere della propria cabina di guida eliminando i mozziconi di sigaretta,F
8a,8103,1,I controlli sul veicolo prima della partenza ...,Servono a prevenire pericoli durante il trasporto,V
8a,8103,2,I controlli sul veicolo prima della partenza ...,"Prevedono, tra l'altro, la verifica di pulizia del vano di carico",V
8a,8103,3,I controlli sul veicolo prima della partenza ...,"Riguardano, tra l'altro, la verifica dei documenti di bordo",V
8a,8103,4,I controlli sul veicolo prima della partenza ...,Servono per individuare ammaccature o ruggine,F
8a,8103,5,I controlli sul veicolo prima della partenza ...,Sono utili per far passare il tempo mentre il motore si scalda,F
8a,8103,6,I controlli sul veicolo prima della partenza ...,Non si devono eseguire perché non previste dalla normativa ADR,F
8a,8104,1,Un conducente di veicoli adibiti al trasporto di merci pericolose deve:,Conoscere i rischi derivanti dalla merce che trasporta,V
8a,8104,2,Un conducente di veicoli adibiti al trasporto di merci pericolose deve:,"Guidare prudentemente, evitando le manovre brusche che potrebbero far spostare il carico",V
8a,8104,3,Un conducente di veicoli adibiti al trasporto di merci pericolose deve:,Tenere le istruzioni scritte nella cabina di guida e facilmente accessibili,V
8a,8104,4,Un conducente di veicoli adibiti al trasporto di merci pericolose deve:,Indossare i dispositivi di protezione individuale durante la guida,F
8a,8104,5,Un conducente di veicoli adibiti al trasporto di merci pericolose deve:,In caso di guasto grave all'impianto frenante o elettrico del veicolo non interrompere mai il viaggio,F
8a,8104,6,Un conducente di veicoli adibiti al trasporto di merci pericolose deve:,Far valere le grosse dimensioni del proprio veicolo per farsi rispettare dagli altri utenti della strada,F
8a,8105,1,"Durante la circolazione, in quale direzione si può spostare la merce?","Durante una frenata in marcia rettilinea, le merci si possono spostare in avanti",V
8a,8105,2,"Durante la circolazione, in quale direzione si può spostare la merce?","Durante una curva a sinistra, la merce si può spostare sul lato destro",V
8a,8105,3,"Durante la circolazione, in quale direzione si può spostare la merce?","Durante una curva a destra, la merce si può spostare sul lato sinistro",V
8a,8105,4,"Durante la circolazione, in quale direzione si può spostare la merce?","Durante una frenata in marcia rettilinea, le merci si possono spostare all'indietro",F
8a,8105,5,"Durante la circolazione, in quale direzione si può spostare la merce?","Durante una curva a destra, la merce si può spostare sul lato destro",F
8a,8105,6,"Durante la circolazione, in quale direzione si può spostare la merce?","Durante una curva a sinistra, la merce si può spostare sul lato sinistro",F
8a,8106,1,Quali forze intervengono sul veicolo e sulla merce quando si percorre una curva?,La forza centrifuga che tende a far spostare il carico verso l'esterno della curva,V
8a,8106,2,Quali forze intervengono sul veicolo e sulla merce quando si percorre una curva?,"La forza centrifuga che tende a far ribaltare il veicolo, soprattutto se ha un carico molto alto (baricentro elevato)",V
8a,8106,3,Quali forze intervengono sul veicolo e sulla merce quando si percorre una curva?,La forza centrifuga che può causare lo sbandamento o il ribaltamento del veicolo,V
8a,8106,4,Quali forze intervengono sul veicolo e sulla merce quando si percorre una curva?,Quando si percorre una curva non interviene nessuna forza particolare,F
8a,8106,5,Quali forze intervengono sul veicolo e sulla merce quando si percorre una curva?,La forza centrifuga che tende a far spostare il carico verso l'interno della curva,F
8a,8107,1,"Come devono comportarsi i conducenti di veicoli adibiti al trasporto di merci pericolose, in caso di cattiva visibilità per pioggia o nebbia?","In generale diminuire gradualmente la velocità a seconda delle condizioni atmosferiche, per non creare pericoli a terzi e se necessario fermarsi",V
8a,8107,2,"Come devono comportarsi i conducenti di veicoli adibiti al trasporto di merci pericolose, in caso di cattiva visibilità per pioggia o nebbia?","Se la visibilità scende sotto i 40 - 50 metri, rallentare e fermarsi in un parcheggio o idonea area di sosta",V
8a,8107,3,"Come devono comportarsi i conducenti di veicoli adibiti al trasporto di merci pericolose, in caso di cattiva visibilità per pioggia o nebbia?",Non si devono fermare bruscamente sulla carreggiata stradale,V
8a,8107,4,"Come devono comportarsi i conducenti di veicoli adibiti al trasporto di merci pericolose, in caso di cattiva visibilità per pioggia o nebbia?",Arrivare il più presto possibile in sede o a destinazione,F
8a,8107,5,"Come devono comportarsi i conducenti di veicoli adibiti al trasporto di merci pericolose, in caso di cattiva visibilità per pioggia o nebbia?",Fermarsi bruscamente nella corsia di emergenza,F
8a,8107,6,"Come devono comportarsi i conducenti di veicoli adibiti al trasporto di merci pericolose, in caso di cattiva visibilità per pioggia o nebbia?",Chiedere consenso al mittente di aumentare la velocità,F
8a,8108,1,"Il segnale rappresentato in figura n. 28, indica:",Transito vietato ai veicoli che trasportano merci pericolose,V
8a,8108,2,"Il segnale rappresentato in figura n. 28, indica:","Transito vietato ai veicoli aventi una massa complessiva maggiore di 7,5 t",F
8a,8108,3,"Il segnale rappresentato in figura n. 28, indica:",Transito vietato ai veicoli che trasportano materie alimentari,F
8a,8108,4,"Il segnale rappresentato in figura n. 28, indica:",Transito vietato ai veicoli che trasportano merci che possono contaminare l'acqua,F
8a,8109,1,"Il segnale rappresentato in figura n. 26, indica:",Transito vietato ai veicoli che trasportano esplosivi o materie facilmente infiammabili,V
8a,8109,2,"Il segnale rappresentato in figura n. 26, indica:",Transito vietato ai veicoli che trasportano qualsiasi merce pericolosa,F
8a,8109,3,"Il segnale rappresentato in figura n. 26, indica:",Transito vietato ai veicoli che trasportano merci che possono contaminare l'acqua,F
8a,8109,4,"Il segnale rappresentato in figura n. 26, indica:",Transito vietato ai veicoli che trasportano merci non pericolose,F
8a,8110,1,"Il segnale rappresentato in figura n. 27, indica:",Transito vietato ai veicoli che trasportano merci che possono contaminare l'acqua,V
8a,8110,2,"Il segnale rappresentato in figura n. 27, indica:",Transito vietato ai veicoli che trasportano qualsiasi merce pericolosa,F
8a,8110,3,"Il segnale rappresentato in figura n. 27, indica:","Transito vietato ai veicoli aventi una massa complessiva maggiore di 7,5 t",F
8a,8110,4,"Il segnale rappresentato in figura n. 27, indica:",Transito vietato a tutte le merci pericolose trasportate calde,F
8a,8111,1,Il segnale rappresentato in figura n. 25 indica:,Un itinerario obbligatorio per i veicoli che trasportano merci pericolose,V
8a,8111,2,Il segnale rappresentato in figura n. 25 indica:,La direzione obbligatoria che devono seguire i veicoli carichi di merci pericolose,V
8a,8111,3,Il segnale rappresentato in figura n. 25 indica:,Transito vietato ai veicoli che trasportano qualsiasi merce pericolosa,F
8a,8111,4,Il segnale rappresentato in figura n. 25 indica:,Transito vietato ai soli veicoli che trasportano merci che possono contaminare l'acqua,F
8a,8111,5,Il segnale rappresentato in figura n. 25 indica:,Un itinerario obbligatorio per i soli veicoli che trasportano merci che possono contaminare l'acqua,F
8a,8112,1,Quale delle seguenti figure vieta il transito ai veicoli carichi di materie che possono contaminare l'acqua?,Figura n. 27,V
8a,8112,2,Quale delle seguenti figure vieta il transito ai veicoli carichi di materie che possono contaminare l'acqua?,Figura n. 28,F
8a,8112,3,Quale delle seguenti figure vieta il transito ai veicoli carichi di materie che possono contaminare l'acqua?,Figura n. 26,F
8a,8113,1,Quale delle seguenti figure vieta il transito ai veicoli carichi di materie pericolose?,Figura n. 28,V
8a,8113,2,Quale delle seguenti figure vieta il transito ai veicoli carichi di materie pericolose?,Figura n. 27,F
8a,8113,3,Quale delle seguenti figure vieta il transito ai veicoli carichi di materie pericolose?,Figura n. 26,F
8a,8114,1,Quale delle seguenti figure vieta il transito ai veicoli che trasportano esplosivi o prodotti facilmente infiammabili?,Figura n. 26,V
8a,8114,2,Quale delle seguenti figure vieta il transito ai veicoli che trasportano esplosivi o prodotti facilmente infiammabili?,Figura n. 27,F
8a,8114,3,Quale delle seguenti figure vieta il transito ai veicoli che trasportano esplosivi o prodotti facilmente infiammabili?,Figura n. 28,F
8a,8115,1,Quale delle seguenti figure indica un itinerario obbligatorio per i veicoli che trasportano merci pericolose?,Figura n. 25,V
8a,8115,2,Quale delle seguenti figure indica un itinerario obbligatorio per i veicoli che trasportano merci pericolose?,Figura n. 28,F
8a,8115,3,Quale delle seguenti figure indica un itinerario obbligatorio per i veicoli che trasportano merci pericolose?,Figura n. 27,F
8a,8116,1,"Durante il trasporto di merci pericolose, quali dei seguenti comportamenti vi sembrano corretti?","In caso di perdita, fermarsi in un centro abitato solo per porvi rimedio",F
8a,8116,2,"Durante il trasporto di merci pericolose, quali dei seguenti comportamenti vi sembrano corretti?","In caso di perdite, se non si riesce a porvi rimedio, condurre possibilmente il veicolo fuori dal centro abitato",V
8a,8116,3,"Durante il trasporto di merci pericolose, quali dei seguenti comportamenti vi sembrano corretti?","Se il veicolo è guasto sulla carreggiata, bisogna segnalarlo con i segnali di avvertimento autoportanti (per esempio coni o triangoli)",V
8a,8116,4,"Durante il trasporto di merci pericolose, quali dei seguenti comportamenti vi sembrano corretti?","In caso d'inizio d'incendio del veicolo, prima avvertire le autorità poi cercare di spegnerlo",F
8a,8116,5,"Durante il trasporto di merci pericolose, quali dei seguenti comportamenti vi sembrano corretti?","In caso di perdita di una materia della classe 8, intervenire immediatamente senza indossare i dispositivi di protezione individuale",F
8a,8116,6,"Durante il trasporto di merci pericolose, quali dei seguenti comportamenti vi sembrano corretti?","In caso di versamento del carico sulla strada, dopo gli interventi d'emergenza informare le autorità",V
8a,8117,1,"Durante il trasporto di merci pericolose, quali dei seguenti comportamenti vi sembrano corretti?","In caso di perdite di prodotto segnalare una zona di rispetto attorno al veicolo, usando i dispositivi di equipaggiamento in dotazione al veicolo (coni o triangoli)",V
8a,8117,2,"Durante il trasporto di merci pericolose, quali dei seguenti comportamenti vi sembrano corretti?","In caso vi siano feriti, prima di tutto metterli al sicuro (allontanandoli dall'incidente)",V
8a,8117,3,"Durante il trasporto di merci pericolose, quali dei seguenti comportamenti vi sembrano corretti?",In caso d'inizio d'incendio fermarsi solo nei centri abitati ed intervenire con gli estintori,F
8a,8117,4,"Durante il trasporto di merci pericolose, quali dei seguenti comportamenti vi sembrano corretti?","Immediatamente dopo un incidente, scendere dal veicolo lasciando il motore acceso pronti a ripartire",F
8a,8117,5,"Durante il trasporto di merci pericolose, quali dei seguenti comportamenti vi sembrano corretti?","Tenere le ""istruzioni scritte"" a portata di mano del conducente",V
8a,8117,6,"Durante il trasporto di merci pericolose, quali dei seguenti comportamenti vi sembrano corretti?","In caso di emergenza, scendere dal veicolo senza indossare il giubbotto ad alta visibilità",F
8a,8118,1,"Quali delle seguenti precauzioni, deve rispettare il conducente durante il trasporto di merci pericolose?","Non fumare, o usare sigarette elettroniche e altri simili dispositivi, a bordo del veicolo",V
8a,8118,2,"Quali delle seguenti precauzioni, deve rispettare il conducente durante il trasporto di merci pericolose?","Fumare, o usare sigarette elettroniche e altri simili dispositivi, solo fuori dalla cabina, nelle vicinanze del veicolo",F
8a,8118,3,"Quali delle seguenti precauzioni, deve rispettare il conducente durante il trasporto di merci pericolose?",Utilizzare apparecchi di illuminazione a fiamma libera per ispezionare il vano di carico,F
8a,8118,4,"Quali delle seguenti precauzioni, deve rispettare il conducente durante il trasporto di merci pericolose?","Se si deve controllare l'interno del vano di carico, bisogna usare lampade antiscintilla",V
8a,8118,5,"Quali delle seguenti precauzioni, deve rispettare il conducente durante il trasporto di merci pericolose?",Trasportare solo dipendenti dell'azienda caricatrice del veicolo,F
8a,8118,6,"Quali delle seguenti precauzioni, deve rispettare il conducente durante il trasporto di merci pericolose?",Non trasportare passeggeri sul veicolo all'infuori dei membri dell'equipaggio,V
8a,8119,1,Per lo stazionamento di un'unità di trasporto per cui l'ADR richiede l'obbligo di sorveglianza:,Se e quando è possibile devono essere sorvegliate o stazionare in parcheggi sorvegliati,V
8a,8119,2,Per lo stazionamento di un'unità di trasporto per cui l'ADR richiede l'obbligo di sorveglianza:,"Se non è possibile la sorveglianza, possono sostare isolate in aree all'aperto recintate",V
8a,8119,3,Per lo stazionamento di un'unità di trasporto per cui l'ADR richiede l'obbligo di sorveglianza:,Possono essere parcheggiate in un centro abitato,F
8a,8119,4,Per lo stazionamento di un'unità di trasporto per cui l'ADR richiede l'obbligo di sorveglianza:,"Possono essere parcheggiate in centro città, purché munite delle prescritte segnalazioni",F
8a,8119,5,Per lo stazionamento di un'unità di trasporto per cui l'ADR richiede l'obbligo di sorveglianza:,Non possono mai sostare,F
8a,8119,6,Per lo stazionamento di un'unità di trasporto per cui l'ADR richiede l'obbligo di sorveglianza:,"Se non è possibile la sorveglianza, possono sostare anche in un deposito che offra tutte le garanzie di sicurezza",V
8a,8120,1,Nel caso di stazionamento di un'unità di trasporto per cui l'ADR richiede l'obbligo di sorveglianza:,Può essere posteggiata in un luogo recintato con presenza di un custode,V
8a,8120,2,Nel caso di stazionamento di un'unità di trasporto per cui l'ADR richiede l'obbligo di sorveglianza:,"Se la sorveglianza non è possibile, può essere posteggiata in un parcheggio dove non corra il rischio di essere danneggiata",V
8a,8120,3,Nel caso di stazionamento di un'unità di trasporto per cui l'ADR richiede l'obbligo di sorveglianza:,Si può sostare solo in un centro abitato,F
8a,8120,4,Nel caso di stazionamento di un'unità di trasporto per cui l'ADR richiede l'obbligo di sorveglianza:,"Si può sostare in centro città, purché munite delle prescritte segnalazioni",F
8a,8120,5,Nel caso di stazionamento di un'unità di trasporto per cui l'ADR richiede l'obbligo di sorveglianza:,Le unità di trasporto non possono mai sostare,F
8a,8120,6,Nel caso di stazionamento di un'unità di trasporto per cui l'ADR richiede l'obbligo di sorveglianza:,"Se non è possibile la sorveglianza, è ammessa la sosta anche in un deposito che offra tutte le garanzie di sicurezza",V
8a,8121,1,"Cosa deve fare il conducente, quando la sosta o il parcheggio forzato della sua unità di trasporto procurano o possono procurare un rischio particolare?",Avvisare o far avvisare gli organi di Polizia,V
8a,8121,2,"Cosa deve fare il conducente, quando la sosta o il parcheggio forzato della sua unità di trasporto procurano o possono procurare un rischio particolare?",Se il veicolo possiede un sistema di comunicazione il conducente deve informare immediatamente la propria azienda,V
8a,8121,3,"Cosa deve fare il conducente, quando la sosta o il parcheggio forzato della sua unità di trasporto procurano o possono procurare un rischio particolare?","Applicare quanto contenuto nelle ""istruzioni scritte"" e informare le autorità",V
8a,8121,4,"Cosa deve fare il conducente, quando la sosta o il parcheggio forzato della sua unità di trasporto procurano o possono procurare un rischio particolare?",Avvisare o far avvisare il destinatario che venga a prendere la merce,F
8a,8121,5,"Cosa deve fare il conducente, quando la sosta o il parcheggio forzato della sua unità di trasporto procurano o possono procurare un rischio particolare?",Abbandonare il veicolo ed andare alla ricerca di soccorso,F
8a,8121,6,"Cosa deve fare il conducente, quando la sosta o il parcheggio forzato della sua unità di trasporto procurano o possono procurare un rischio particolare?",Informare la popolazione attraverso le radioemittenti locali,F
8a,8122,1,"Dove può essere parcheggiato un veicolo con merci ADR, per il quale l'ADR richiede la sorveglianza?",Anche nel deposito aziendale,V
